Code,Description
20174390,Freeport Shipping
ZZZ00120,Portco SA (Pty) Ltd
ZZZ00112,Tidal Shipping (Pty) Ltd
ZZZ00046,S2 Logistics CC
ZZZ00008,Haba-Sped Logistics SA
ZZZ00068,Sabelo Logistics CC
01132593,Sebenza Freight Services Pty Ltd
01438924,F.H. Bertling Logistics Pty Ltd
20609542,Seatrans Logistics Pty Ltd
ZZZ00032,R.B. Freight Management (Pty) Ltd
01849016,MS Cargo Logistics International Pty Ltd
00426789,DHL International Pty Ltd
00727778,Clearfreight (Pty) Ltd
01644572,MOL South Africa (Pty) Ltd
21137700,Relay Customs Logistics Pty Ltd
ZZZ00001,World Cargo Services Pty Ltd
00523864,Swiftair International CC
00988892,Siren Freight CC
ZZZ00087,Richards Logistics CC
00382795,Transworld Freight CC
20738233,888 Shipping and Container Services Pty Ltd
21367190,Global Aerotech Pty Ltd
ZZZ00055,Rapsol Twenty One CC
00598833,MSC Logistics (Pty) Ltd
00941490,Seaboard International Trading Company Pty Ltd
01652310,Boyd Boss Freight Management Pty Ltd
21275896,Bel-France Xpress Logistics (Pty) Ltd
20388304,R and R Air Services CC
01585697,Sirpat Investments CC
21325807,Big World Freight Services (Pty) Ltd
20146489,Famous Pacific Shipping CC
00101566,Schenker SA Pty Ltd
20647548,Fourway Logistics Solutions (Pty) Ltd
21082685,DAS Global Logistics (Pty) Ltd
21242579,Thembani Shipping Pty Ltd
20285263,Africa Union Transport Pty Ltd
ZZZ00025,Seatram Sea & Air (Pty) Ltd
20449292,Triad Trading Pty Ltd
ZZZ00042,Paccon Logistics SA (Pty) Ltd
20449470,Balanced Solutions Pty Ltd
20380095,Triple C Freight Pty Ltd
01768503,Cargo Compass SA (Pty) Ltd
01395406,Natco SA International Transports Pty Ltd
01871019,Ceva Logistics SA Pty Ltd
00505655,Geodis Wilson (SA) (Pty)Ltd
01759122,Jupiter Customs Clearing Service
00115027,ADB Mcgregor & Company
20101438,Cargo Dynamics CC
20289056,Poplar Trading 77 CC
00436236,Pennant Freight Pty Ltd
00625038,Hellmann Worldwide Logistics Pty Ltd
